Diseases,Symptoms
post traumatic stress disorder,"sadness (0.380), depression (0.379), anxiety (0.284), thoughts of suicide (0.066), seizures (0.057), crying (0.040), insomnia (0.025), agitation (0.022), substance abuse (0.018), visual hallucinations (0.016), hearing voices (0.016), chronic back pain (0.015), back pain (0.015), paranoia (0.015), diarrhea (0.015), abdominal pain (0.014), screaming (0.013), nightmares (0.013), anger (0.013), panic attack (0.012), loss of appetite (0.010), falling (0.010), racing thoughts (0.010), tremor (0.009), confusion (0.007), itching (0.006), fear (0.006), bruising (0.005), hopelessness (0.005), fainting (0.004), severe anxiety (0.004), delirium (0.004), vision loss (0.003), poor appetite (0.003)"
prostate cancer,"weakness (0.077), blood in urine (0.062), urinary retention (0.043), pain (0.036), bleeding (0.036), constipation (0.032), infection (0.024), chills (0.023), lethargy (0.023), fever (0.023), incontinence (0.022), discomfort (0.022), back pain (0.017), bleeding from anus (0.016), fatigue (0.016), low blood pressure (0.015), leaking of urine (0.014), abdominal pain (0.014)"
psoriasis,"sadness (0.066), depression (0.062), skin rash (0.056), redness (0.056), anxiety (0.055), swelling (0.047), chills (0.038), diarrhea (0.032), infection (0.028), lesion (0.022), itching (0.021), pain (0.019), nausea (0.018), fever (0.018), abdominal pain (0.016), lump (0.016), poor appetite (0.015), dry cough (0.014), pain during urination (0.013), plaque (0.012), joint pain (0.011), lightheadedness (0.011), red rashes (0.011), dry skin (0.011)"
psychosis,"depression (0.206), sadness (0.206), agitation (0.105), anxiety (0.087), paranoia (0.083), hearing voices (0.060), visual hallucinations (0.039), thoughts of suicide (0.035), confusion (0.032), screaming (0.032), crying (0.023), insomnia (0.021), mental confusion (0.019), wandering and getting lost (0.017), substance abuse (0.017), delirium (0.017), racing thoughts (0.016), manic episode (0.014), seizures (0.014), aggression (0.012), fast heart rate (0.010), dehydration (0.008), delusion (0.008), hallucination (0.007), fear (0.007), falling (0.006), disorganized behavior (0.004), anger (0.004), tremor (0.004), nightmares (0.004), difficulty with bodily movement (0.004), weight loss (0.004), slurred speech (0.004)"
pulmonary embolism,"shortness of breath (0.244), fast heart rate (0.056), chest pain worsened by breathing (0.049), racing heartbeat (0.037), swelling (0.036), coughing (0.036), low oxygen in the body (0.030), fast breathing (0.026), discomfort (0.023), calf pain (0.023), infection (0.020), chest discomfort (0.019), leg pain (0.019), back pain (0.018), chest tightness (0.018), chills (0.018), lump (0.017), coughing up blood (0.015)"
pulmonary hypertension,"shortness of breath (0.160), regurgitation (0.150), low oxygen in the body (0.053), coughing (0.039), fluid in the lungs (0.029), back pain (0.028), restless legs syndrome (0.021), infection (0.021), wheezing (0.018), respiratory distress (0.015), chest discomfort (0.014), cavity (0.014), malnutrition (0.013), slow heart rate (0.012), dry cough (0.012), drooping of upper eyelid (0.012), vertigo (0.011), cough with phlegm (0.011), depression (0.010), sadness (0.010)"
retinal detachment,"vision loss (0.125), blurred vision (0.065), headache (0.057), neck pain (0.041), eye pain (0.039), dehydration (0.024), difficulty walking (0.023), itching (0.020), discomfort (0.018), unequal pupils (0.017), watery diarrhea (0.015), bone loss (0.015), partial loss of vision (0.014), ear pain (0.013), fast heart rate (0.012), slow bodily movement (0.009), low oxygen in the body (0.009), vision disorder (0.009), elevated alkaline phosphatase (0.009), seeing spots (0.009), abnormality walking (0.009), malnutrition (0.009)"
rhabdomyolysis,"dark urine (0.060), weakness (0.056), arm pain (0.055), muscle pain (0.045), swelling (0.043), cramping (0.030), leg pain (0.029), falling (0.024), numbness (0.022), bruising (0.022), lethargy (0.021), dehydration (0.020), substance abuse (0.018), confusion (0.017), sweating (0.016), kidney failure (0.016), fatigue (0.015), muscle weakness (0.015), blood in urine (0.015), seizures (0.015), slurred speech (0.015)"
rheumatoid arthritis,"pain (0.211), swelling (0.072), fever (0.043), knee pain (0.038), joint pain (0.033), infection (0.029), acute episodes (0.026), weakness (0.022), shortness of breath (0.021), diarrhea (0.020), shoulder pain (0.018), redness (0.017), fatigue (0.016), hip pain (0.015), chills (0.015), depression (0.013), sadness (0.013), lethargy (0.013), wrist pain (0.013), fast heart rate (0.012), skin rash (0.011), low blood pressure (0.010)"
schizophrenia,"hearing voices (0.091), depression (0.069), sadness (0.069), paranoia (0.055), agitation (0.047), anxiety (0.033), thoughts of suicide (0.026), visual hallucinations (0.021), wandering and getting lost (0.015), screaming (0.014), confusion (0.014), aggression (0.011), seizures (0.011), substance abuse (0.010), racing thoughts (0.009), difficulty with bodily movement (0.008), crying (0.008), insomnia (0.008), tremor (0.007), low blood pressure (0.006), fast heart rate (0.006), slurred speech (0.005), panic attack (0.005), anger (0.005), low oxygen in the body (0.004), mental confusion (0.004), drooling (0.004), excess thirst (0.003), fear (0.003), wheezing (0.003)"
sciatica,"pain (0.627), back pain (0.344), leg pain (0.144), numbness (0.106), hip pain (0.076), chronic back pain (0.050), weakness (0.047), incontinence (0.023), tenderness (0.018), difficulty walking (0.016), leaking of urine (0.015), limping (0.015), leg numbness (0.013), constipation (0.011), severe pain (0.011), lower extremity pain (0.011), foot numbness (0.011), crying (0.010), acute episodes (0.009), sharp pain (0.009), flank pain (0.009), pins and needles (0.009), knee pain (0.008), difficulty raising the foot (0.007), groin pain (0.007), nerve pain (0.006)"
seasonal allergies,"coughing (0.122), nasal congestion (0.077), sore throat (0.070), headache (0.054), swelling (0.043), shortness of breath (0.042), cough with phlegm (0.034), redness (0.032), stuffy nose (0.032), runny nose (0.031), itching (0.030), wheezing (0.030), sneezing (0.027), anxiety (0.026), chills (0.022), dry cough (0.022), chest tightness (0.021), discomfort (0.021), sinus pressure (0.020), skin rash (0.019), eye redness (0.019), itchy eyes (0.018), ear pain (0.018), racing heartbeat (0.016), sadness (0.014), depression (0.014), fatigue (0.013), difficulty breathing (0.013), dizziness (0.013)"
sebaceous cyst,"cyst (0.316), swelling (0.181), pain (0.161), lump (0.151), redness (0.116), lesion (0.060), muscle twitches (0.045), brief visual or sensory abnormality (0.033), bone loss (0.030), discomfort (0.029), drooping of upper eyelid (0.025), fast heart rate (0.022)"
sepsis,"fever (0.272), low blood pressure (0.174), infection (0.074), chills (0.072), fast heart rate (0.068), confusion (0.063), lethargy (0.051), weakness (0.047), coughing (0.039), low oxygen in the body (0.027), mental confusion (0.024), kidney failure (0.022), diarrhea (0.020), respiratory distress (0.014), malaise (0.014), dehydration (0.013), redness (0.013), fast breathing (0.011), abdominal pain (0.011), shortness of breath (0.010), vomiting (0.009), fatigue (0.008), low body temperature (0.006), wheezing (0.006), collapse (0.005), malnutrition (0.005), fluid in the abdomen (0.005), difficulty breathing (0.005)"
shingles,"skin rash (0.301), pain (0.278), nerve pain (0.047), itching (0.032), redness (0.031), flank pain (0.029), lesion (0.027), back pain (0.026), weakness (0.026), infection (0.024), lethargy (0.019), facial pain (0.016), sensitivity to light (0.016), ear pain (0.015), red rashes (0.015), eye pain (0.013), fatigue (0.012), arm pain (0.012), blister (0.011), rash on the face (0.008), facial swelling (0.008), swelling (0.008), stiffness (0.008), sharp pain (0.007), blurred vision (0.007), burning sensation (0.007), inflammation of ear (0.007), neck pain (0.005), weight loss (0.005)"
sickle cell anemia,"pain (0.689), back pain (0.147), leg pain (0.100), arm pain (0.068), hip pain (0.056), knee pain (0.050), fever (0.044), joint pain (0.043), seizures (0.038), infection (0.033), shortness of breath (0.030), malnutrition (0.028), chest pain worsened by breathing (0.025), acute episodes (0.024), discomfort (0.022), severe pain (0.022), rib pain (0.021), sharp pain (0.020), coughing up blood (0.017), coughing (0.015), itching (0.015), vomiting (0.015), lower extremity pain (0.014), nausea (0.013), elbow pain (0.013), pelvic pain (0.012), vomiting blood (0.012)"
sinusitis,"headache (0.172), coughing (0.144), fever (0.097), chills (0.082), nausea (0.079), nasal congestion (0.068), sinus pressure (0.062), sinus pain (0.061), dizziness (0.051), pain (0.044), sore throat (0.039), facial pain (0.037), tenderness (0.036), ear pain (0.029), infection (0.028), sensitivity to light (0.027), cough with phlegm (0.026), diarrhea (0.025), lethargy (0.024), fatigue (0.021), skin rash (0.019), neck pain (0.018), eye pain (0.018), stuffy nose (0.017), lightheadedness (0.015), inflammation of ear (0.014), blurred vision (0.014), discomfort (0.014), malaise (0.013), dry cough (0.013), vertigo (0.012), jaw pain (0.011), phlegm (0.011), shortness of breath (0.010), double vision (0.010)"
sleep apnea,"depression (0.086), sadness (0.086), shortness of breath (0.045), lethargy (0.044), anxiety (0.032), fatigue (0.028), coughing (0.024), snoring (0.014), confusion (0.014), chronic cough (0.013), falling (0.013), mental confusion (0.011), chills (0.010), erectile dysfunction (0.010), malaise (0.009), abdominal pain (0.009), bone loss (0.009), dizziness (0.009), infection (0.008), cough with phlegm (0.008), episodes of no breathing (0.008), skin rash (0.008), seizures (0.008), severe pain (0.008), regurgitation (0.007)"
spondylosis,"pain (0.254), weakness (0.115), back pain (0.104), neck pain (0.092), numbness (0.091), headache (0.064), sadness (0.063), depression (0.063), dizziness (0.043), incontinence (0.041), fainting (0.038), shoulder pain (0.037), lesion (0.033), chronic back pain (0.032), drooping of upper eyelid (0.032), tenderness (0.025), arm pain (0.023), anxiety (0.023)"
sprained ankle,"pain (0.504), swelling (0.461), ankle pain (0.413), tenderness (0.060), foot pain (0.052), bruising (0.037), limping (0.033), falling (0.027), physical deformity (0.014), difficulty walking (0.014), ice pack (0.013), calf pain (0.008), throbbing pain (0.007), severe pain (0.006), discomfort (0.006)"
sprained knee,"knee pain (0.495), pain (0.425), swelling (0.193), calf pain (0.049), leg pain (0.037), limping (0.035), tenderness (0.026), discomfort (0.020), falling (0.017), bruising (0.016), severe pain (0.013), ankle pain (0.012), ice pack (0.011), shoulder pain (0.010), difficulty walking (0.010), sharp pain (0.010), swollen joint (0.007)"
sprained wrist,"pain (0.402), wrist pain (0.323), swelling (0.308), hand pain (0.103), tenderness (0.072), falling (0.060), knee pain (0.033), physical deformity (0.029), finger pain (0.029), bruising (0.026), arm pain (0.018), numbness (0.016), elbow pain (0.015), ice pack (0.014), mild pain (0.009), ankle pain (0.009), decreased range of motion (0.009)"
stomach flu,"diarrhea (0.533), nausea (0.526), vomiting (0.474), pain (0.336), abdominal pain (0.242), chills (0.166), cramping (0.112), fever (0.089), dehydration (0.066), watery diarrhea (0.063), tenderness (0.053), pain in upper abdomen (0.041), dizziness (0.041), abdominal discomfort (0.028), discomfort (0.028), lethargy (0.027), weakness (0.026), fatigue (0.025), headache (0.023), lightheadedness (0.019), lower abdominal pain (0.015), malaise (0.011), low blood pressure (0.010), pain during urination (0.010), fast heart rate (0.009), blood in stool (0.008), abdominal tenderness (0.008), upper abdominal pain (0.008), anxiety (0.008), loss of appetite (0.008), muscle pain (0.006), dark stool from digested blood (0.006), intermittent abdominal pain (0.006), acute episodes (0.006), gagging (0.006), constipation (0.006), stomach cramps (0.005), discomfort in upper abdomen (0.005)"
stomach ulcer,"pain (0.254), abdominal pain (0.120), nausea (0.119), sadness (0.109), depression (0.109), pain in upper abdomen (0.083), vomiting (0.074), diarrhea (0.037), bleeding (0.036), tenderness (0.034), vomiting blood (0.031), chills (0.026), malnutrition (0.018), seizures (0.013), lightheadedness (0.012), abdominal discomfort (0.011), dizziness (0.011), indigestion (0.011), wrist pain (0.010), shortness of breath (0.009), bowel obstruction (0.009)"
strep throat,"sore throat (0.605), fever (0.347), pain (0.225), chills (0.215), coughing (0.159), leaked fluid out of blood vessels or an organ (0.127), difficulty swallowing (0.080), headache (0.075), ear pain (0.062), redness (0.060), swelling (0.058), nausea (0.051), neck pain (0.048), infection (0.037), nasal congestion (0.036), fatigue (0.036), painful swallowing (0.035), lethargy (0.033), vomiting (0.027), dry cough (0.026), tenderness (0.023), diarrhea (0.021), runny nose (0.021), skin rash (0.021), swollen tonsils (0.018), malaise (0.017), irritation of the tonsils (0.017), neck swelling (0.017), stiffness (0.016), night sweats (0.015), difficulty breathing (0.015)"
stroke,"weakness (0.293), slurred speech (0.098), numbness (0.089), dizziness (0.078), headache (0.076), confusion (0.076), mental confusion (0.055), seizures (0.044), vertigo (0.028), malnutrition (0.027), weakness of one side of the body (0.026), blurred vision (0.022), problems with coordination (0.021), unsteady gait (0.021), difficulty speaking (0.015), double vision (0.013), vision loss (0.013), hand numbness (0.012), falling (0.012), fainting (0.011), lightheadedness (0.011), paralysis (0.010), difficulty swallowing (0.010), lethargy (0.009), unsteadiness (0.008), rapid involuntary eye movement (0.008), memory loss (0.007), clumsiness (0.007), lesion (0.007), drooling (0.006)"
tension headache,"headache (0.613), pain (0.227), nausea (0.149), neck pain (0.123), dizziness (0.119), sensitivity to light (0.071), lightheadedness (0.057), anxiety (0.042), stiffness (0.040), chills (0.037), ache (0.036), blurred vision (0.036), vertigo (0.032), racing heartbeat (0.030), weakness (0.024), rapid involuntary eye movement (0.022), fainting (0.020), poor appetite (0.018), nasal congestion (0.017), vision loss (0.017), foot pain (0.016), insomnia (0.016)"
thoracic radiculopathy,"pain (0.621), back pain (0.477), numbness (0.335), weakness (0.229), leg pain (0.169), hip pain (0.098), chronic back pain (0.098), incontinence (0.061), foot numbness (0.054), leg numbness (0.053), pins and needles (0.038), severe pain (0.034), sharp pain (0.025), tenderness (0.024), leaking of urine (0.023), difficulty walking (0.023), difficulty raising the foot (0.022), knee pain (0.018), flank pain (0.016)"
thyroid cancer,"nausea (0.097), weakness (0.067), headache (0.064), coughing (0.050), fever (0.044), diarrhea (0.042), chills (0.042), dizziness (0.039), lethargy (0.037), fatigue (0.035), numbness (0.030), vomiting (0.030), racing heartbeat (0.026), difficulty swallowing (0.023)"
thyroid nodules,"pain (0.085), back pain (0.065), discomfort (0.055), fainting (0.051), bone loss (0.040), dizziness (0.039), difficulty swallowing (0.036), lump (0.036), swelling (0.031), racing heartbeat (0.031), headache (0.031), neck pain (0.027)"
traumatic brain injury,"headache (0.135), dizziness (0.060), seizures (0.059), fainting (0.051), nausea (0.048), tenderness (0.042), bruising (0.041), falling (0.039), neck pain (0.038), confusion (0.032), bleeding (0.029), mental confusion (0.027), blurred vision (0.026), vomiting (0.016), agitation (0.014), slurred speech (0.012), vertigo (0.011), double vision (0.010), memory loss (0.010), sensitivity to light (0.010), unsteady gait (0.008), amnesia (0.008), persistent headache (0.008), problems with coordination (0.007), severe headache (0.007), difficulty concentrating (0.006), lightheadedness (0.006), rapid involuntary eye movement (0.006), elbow pain (0.006), stiffness (0.004), eye pain (0.004), jaw pain (0.004), rib pain (0.004), malnutrition (0.003), sleepiness (0.003), paralysis (0.003), shoulder pain (0.003), brief visual or sensory abnormality (0.003), substance abuse (0.003)"
type 1 diabetes,"nausea (0.043), vomiting (0.039), infection (0.023), chills (0.022), lethargy (0.019), weakness (0.018), diarrhea (0.015), excess urination (0.012), fatigue (0.012), fever (0.009), dizziness (0.009), excess thirst (0.008), pain during urination (0.008), increased thirst (0.007), shortness of breath (0.007), foot pain (0.007), abdominal pain (0.006), malaise (0.006), kidney failure (0.006), coughing (0.006), thirst (0.006), depression (0.006)"
type 2 diabetes,"weakness (0.029), infection (0.014), lethargy (0.013), dizziness (0.012), fatigue (0.009), redness (0.008), excess urination (0.007), confusion (0.006), leg pain (0.005), foot pain (0.005), shortness of breath (0.005), mental confusion (0.005), low blood pressure (0.004), excess thirst (0.004), coughing (0.003), increased thirst (0.003), malaise (0.003)"
ulcerative colitis,"pain (0.414), diarrhea (0.278), abdominal pain (0.248), nausea (0.228), acute episodes (0.215), vomiting (0.097), cramping (0.084), fever (0.082), chills (0.066), blood in stool (0.038), bleeding from anus (0.035), tenderness (0.033), lower abdominal pain (0.028), scarring within the bile ducts (0.027), weight loss (0.024), fatigue (0.023), lethargy (0.019), bowel obstruction (0.019), rectal pain (0.019), dehydration (0.019), infection (0.018), bleeding (0.018), fast heart rate (0.018), lightheadedness (0.016), discomfort (0.013), constipation (0.013)"
upper respiratory infection,"coughing (0.503), fever (0.187), sore throat (0.165), cough with phlegm (0.163), shortness of breath (0.148), chills (0.124), runny nose (0.094), wheezing (0.080), nasal congestion (0.074), headache (0.061), ear pain (0.046), dry cough (0.041), vertigo (0.038), redness (0.037), leaking of urine (0.032), mild cough (0.028), malaise (0.027), sneezing (0.027), pain during urination (0.026), loss of appetite (0.026), lethargy (0.025), fatigue (0.024), chest pressure (0.024), acute episodes (0.024), tenderness (0.024)"
urinary tract infection,"blood in urine (0.146), pain during urination (0.146), fever (0.071), chills (0.045), flank pain (0.043), urinary retention (0.043), confusion (0.034), lethargy (0.028), weakness (0.028), pain in lower abdomen (0.022), mental confusion (0.021), infection (0.021), discomfort (0.020), nausea (0.015), abdominal pain (0.013), constipation (0.011), diarrhea (0.011), cloudy urine (0.010), frequent urge to urinate (0.010), fatigue (0.010), low blood pressure (0.010), incontinence (0.010), leaking of urine (0.009), malaise (0.009), foul smelling urine (0.008), back pain (0.008), lower abdominal pain (0.008), pelvic pain (0.008), tenderness (0.007), dehydration (0.006), dark urine (0.005), abdominal discomfort (0.005), vaginal discharge (0.004), fast heart rate (0.004), frequent urination (0.004), groin pain (0.004)"
vitamin d deficiency,"depression (0.119), sadness (0.118), malnutrition (0.096), anxiety (0.075), bone loss (0.056), seizures (0.055), diarrhea (0.046), vomiting (0.042), weight loss (0.031), dizziness (0.028), dehydration (0.027), infection (0.023), insomnia (0.021), fast heart rate (0.020), leaking of urine (0.019)"
